Subject,Session,SessionRS
sub-A00037267,ses-V2,ses-DS2
sub-A00037368,ses-V2,ses-DS2
sub-A00037377,ses-V2,ses-DS2
sub-A00037378,ses-V2,ses-DS2
sub-A00037387,ses-V2,ses-DS2
sub-A00037396,ses-V2,ses-DS2
sub-A00037439,ses-V2,ses-DS2
sub-A00037445,ses-V2,ses-DS2
sub-A00037458,ses-V2,ses-DS2
sub-A00037459,ses-V2,ses-DS2
sub-A00037476,ses-V2,ses-DS2
sub-A00037492,ses-V2,ses-DS2
sub-A00037510,ses-V2,ses-DS2
sub-A00037522,ses-V2,ses-DS2
sub-A00037531,ses-V2,ses-DS2
sub-A00037545,ses-V2,ses-DS2
sub-A00037582,ses-V2,ses-DS2
sub-A00037588,ses-V2,ses-DS2
sub-A00037589,ses-V2,ses-DS2
sub-A00037635,ses-V2,ses-DS2
sub-A00037646,ses-V2,ses-DS2
sub-A00037647,ses-V2,ses-DS2
sub-A00037725,ses-V2,ses-DS2
sub-A00037726,ses-V2,ses-DS2
sub-A00037767,ses-V2,ses-DS2
sub-A00037768,ses-V2,ses-DS2
sub-A00037783,ses-V2,ses-DS2
sub-A00037784,ses-V2,ses-DS2
sub-A00037817,ses-V2,ses-DS2
sub-A00037818,ses-V2,ses-DS2
sub-A00037831,ses-V2,ses-DS2
sub-A00037866,ses-V2,ses-DS2
sub-A00037877,ses-V2,ses-DS2
sub-A00038115,ses-V2,ses-DS2
sub-A00038158,ses-V2,ses-DS2
sub-A00038159,ses-V2,ses-DS2
sub-A00038189,ses-V2,ses-DS2
sub-A00038285,ses-V2,ses-DS2
sub-A00038411,ses-V2,ses-DS2
sub-A00038414,ses-V2,ses-DS2
sub-A00038424,ses-V2,ses-DS2
sub-A00038519,ses-V2,ses-DS2
sub-A00038520,ses-V2,ses-DS2
sub-A00038522,ses-V2,ses-DS2
sub-A00038605,ses-V2,ses-DS2
sub-A00038616,ses-V2,ses-DS2
sub-A00038623,ses-V2,ses-DS2
sub-A00038706,ses-V2,ses-DS2
sub-A00038718,ses-V2,ses-DS2
sub-A00038731,ses-V2,ses-DS2
sub-A00038805,ses-V2,ses-DS2
sub-A00038817,ses-V2,ses-DS2
sub-A00038831,ses-V2,ses-DS2
sub-A00038832,ses-V2,ses-DS2
sub-A00038957,ses-V2,ses-DS2
sub-A00038959,ses-V2,ses-DS2
sub-A00039040,ses-V2,ses-DS2
sub-A00039041,ses-V2,ses-DS2
sub-A00039074,ses-V2,ses-DS2
sub-A00039075,ses-V2,ses-DS2
sub-A00039083,ses-V2,ses-DS2
sub-A00039084,ses-V2,ses-DS2
sub-A00039118,ses-V2,ses-DS2
sub-A00039143,ses-V2,ses-DS2
sub-A00039159,ses-V2,ses-DS2
sub-A00039168,ses-V2,ses-DS2
sub-A00039218,ses-V2,ses-DS2
sub-A00039249,ses-V2,ses-DS2
sub-A00039257,ses-V2,ses-DS2
sub-A00039276,ses-V2,ses-DS2
sub-A00039331,ses-V2,ses-DS2
sub-A00039353,ses-V2,ses-DS2
sub-A00039393,ses-V2,ses-DS2
sub-A00039432,ses-V2,ses-DS2
sub-A00039461,ses-V2,ses-DS2
sub-A00039463,ses-V2,ses-DS2
sub-A00039488,ses-V2,ses-DS2
sub-A00039490,ses-V2,ses-DS2
sub-A00039559,ses-V2,ses-DS2
sub-A00039560,ses-V2,ses-DS2
sub-A00039593,ses-V2,ses-DS2
sub-A00039635,ses-V2,ses-DS2
sub-A00039636,ses-V2,ses-DS2
sub-A00039639,ses-V2,ses-DS2
sub-A00039640,ses-V2,ses-DS2
sub-A00039655,ses-V2,ses-DS2
sub-A00039669,ses-V2,ses-DS2
sub-A00039685,ses-V2,ses-DS2
sub-A00039686,ses-V2,ses-DS2
sub-A00039699,ses-V2,ses-DS2
sub-A00039700,ses-V2,ses-DS2
