Subject,Session,SessionRS
sub-A00075653,ses-VA_ALG,ses-ALGA
sub-A00075660,ses-VA,ses-NFBA
sub-A00075678,ses-VA_ALG,ses-ALGA
sub-A00075721,ses-VA,ses-NFBA
sub-A00075732,ses-VA,ses-CLGA
sub-A00075735,ses-VA_ALG,ses-ALGA
sub-A00075737,ses-VA,ses-CLGA
sub-A00075738,ses-VA,ses-CLGA
sub-A00075741,ses-VA_ALG,ses-ALGA
sub-A00075744,ses-VA,ses-CLGA
sub-A00075757,ses-VA_ALG,ses-ALGA
sub-A00075806,ses-VA_ALG,ses-ALGA
sub-A00075895,ses-VA_ALG,ses-ALGA
sub-A00075896,ses-VA,ses-NFBA
sub-A00075898,ses-VA_ALG,ses-ALGA
sub-A00076381,ses-VA_ALG,ses-ALGA
sub-A00076546,ses-VA_ALG,ses-ALGA
sub-A00076559,ses-VA_ALG,ses-ALGA
sub-A00076586,ses-VA_ALG,ses-ALGA
sub-A00076594,ses-VA_ALG,ses-ALGA
sub-A00076595,ses-VA,ses-CLGA
sub-A00076600,ses-VA_ALG,ses-ALGA
sub-A00076744,ses-VA_ALG,ses-ALGA
sub-A00076746,ses-VA_ALG,ses-ALGA
sub-A00076751,ses-VA_ALG,ses-ALGA
sub-A00076755,ses-VA,ses-CLGA
sub-A00076757,ses-VA_ALG,ses-ALGA
sub-A00076759,ses-VA,ses-CLGA
sub-A00076764,ses-VA_ALG,ses-ALGA
sub-A00076775,ses-VA_ALG,ses-ALGA
sub-A00076798,ses-VA_ALG,ses-ALGA
sub-A00076863,ses-VA_ALG,ses-ALGA
sub-A00077088,ses-VA_ALG,ses-ALGA
sub-A00077091,ses-VA_ALG,ses-ALGA
sub-A00077095,ses-VA_ALG,ses-ALGA
sub-A00077099,ses-VA_ALG,ses-ALGA
sub-A00077134,ses-VA_ALG,ses-ALGA
sub-A00077144,ses-VA_ALG,ses-ALGA
sub-A00077181,ses-VA_ALG,ses-ALGA
sub-A00077184,ses-VA_ALG,ses-ALGA
sub-A00077188,ses-VA_ALG,ses-ALGA
sub-A00077199,ses-VA,ses-CLGA
sub-A00077201,ses-VA,ses-CLGA
sub-A00077203,ses-VA,ses-CLGA
sub-A00077252,ses-VA_ALG,ses-ALGA
sub-A00077304,ses-VA_ALG,ses-ALGA
sub-A00077311,ses-VA_ALG,ses-ALGA
sub-A00077391,ses-VA_ALG,ses-ALGA
sub-A00077395,ses-VA,ses-CLGA
sub-A00077413,ses-VA_ALG,ses-ALGA
sub-A00077528,ses-VA_ALG,ses-ALGA
sub-A00077556,ses-VA_ALG,ses-ALGA
sub-A00077574,ses-VA,ses-CLGA
sub-A00077585,ses-VA_ALG,ses-ALGA
sub-A00077622,ses-VA_ALG,ses-ALGA
sub-A00077668,ses-VA,ses-CLGA
sub-A00077755,ses-VA,ses-CLGA
sub-A00077758,ses-VA,ses-NFBA
sub-A00078262,ses-VA_ALG,ses-ALGA
sub-A00079292,ses-VA_ALG,ses-ALGA
sub-A00079301,ses-VA_ALG,ses-ALGA
sub-A00079302,ses-VA_ALG,ses-ALGA
sub-A00079337,ses-VA,ses-CLGA
sub-A00079422,ses-VA_ALG,ses-ALGA
sub-A00079715,ses-VA_ALG,ses-ALGA
sub-A00079730,ses-VA_ALG,ses-ALGA
sub-A00079776,ses-VA,ses-CLGA
sub-A00079907,ses-VA,ses-NFBA
sub-A00079977,ses-VA_ALG,ses-ALGA
sub-A00080428,ses-VA_ALG,ses-ALGA
sub-A00080535,ses-VA_ALG,ses-ALGA
sub-A00080811,ses-VA_ALG,ses-ALGA
sub-A00080819,ses-VA_ALG,ses-ALGA
sub-A00080901,ses-VA_ALG,ses-ALGA
sub-A00080932,ses-VA_ALG,ses-ALGA
sub-A00080942,ses-VA_ALG,ses-ALGA
sub-A00081071,ses-VA_ALG,ses-ALGA
sub-A00081098,ses-VA_ALG,ses-ALGA
sub-A00081103,ses-VA_ALG,ses-ALGA
sub-A00081105,ses-VA_ALG,ses-ALGA
sub-A00081114,ses-VA_ALG,ses-ALGA
sub-A00081123,ses-VA_ALG,ses-ALGA
sub-A00081132,ses-VA_ALG,ses-ALGA
sub-A00081142,ses-VA_ALG,ses-ALGA
sub-A00081149,ses-VA_ALG,ses-ALGA
sub-A00081175,ses-VA_ALG,ses-ALGA
sub-A00081185,ses-VA_ALG,ses-ALGA
sub-A00081239,ses-VA_ALG,ses-ALGA
sub-A00081243,ses-VA_ALG,ses-ALGA
sub-A00081253,ses-VA_ALG,ses-ALGA
sub-A00081402,ses-VA_ALG,ses-ALGA
sub-A00081476,ses-VA,ses-CLGA
sub-A00081479,ses-VA_ALG,ses-ALGA
sub-A00081517,ses-VA_ALG,ses-ALGA
sub-A00081543,ses-VA_ALG,ses-ALGA
sub-A00081544,ses-VA_ALG,ses-ALGA
sub-A00081616,ses-VA_ALG,ses-ALGA
sub-A00081719,ses-VA_ALG,ses-ALGA
sub-A00081721,ses-VA_ALG,ses-ALGA
sub-A00081724,ses-VA_ALG,ses-ALGA
sub-A00081725,ses-VA_ALG,ses-ALGA
sub-A00081727,ses-VA,ses-CLGA
sub-A00081729,ses-VA_ALG,ses-ALGA
sub-A00081734,ses-VA_ALG,ses-ALGA
sub-A00081735,ses-VA_ALG,ses-ALGA
sub-A00081777,ses-VA_ALG,ses-ALGA
sub-A00081780,ses-VA_ALG,ses-ALGA
sub-A00081785,ses-VA_ALG,ses-ALGA
sub-A00081794,ses-VA_ALG,ses-ALGA
sub-A00081846,ses-VA_ALG,ses-ALGA
sub-A00081854,ses-VA_ALG,ses-ALGA
sub-A00081901,ses-VA_ALG,ses-ALGA
sub-A00081962,ses-VA_ALG,ses-ALGA
sub-A00081963,ses-VA_ALG,ses-ALGA
sub-A00082215,ses-VA_ALG,ses-ALGA
sub-A00082216,ses-VA_ALG,ses-ALGA
sub-A00082442,ses-VA_ALG,ses-ALGA
sub-A00082528,ses-VA_ALG,ses-ALGA
sub-A00082529,ses-VA_ALG,ses-ALGA
sub-A00082532,ses-VA_ALG,ses-ALGA
sub-A00082556,ses-VA_ALG,ses-ALGA
sub-A00082563,ses-VA_ALG,ses-ALGA
sub-A00082580,ses-VA_ALG,ses-ALGA
sub-A00082590,ses-VA_ALG,ses-ALGA
sub-A00082619,ses-VA_ALG,ses-ALGA
sub-A00082635,ses-VA_ALG,ses-ALGA
sub-A00082666,ses-VA_ALG,ses-ALGA
sub-A00082672,ses-VA_ALG,ses-ALGA
sub-A00082734,ses-VA_ALG,ses-ALGA
sub-A00082781,ses-VA_ALG,ses-ALGA
sub-A00082804,ses-VA_ALG,ses-ALGA
sub-A00082807,ses-VA_ALG,ses-ALGA
sub-A00082942,ses-VA_ALG,ses-ALGA
sub-A00082945,ses-VA,ses-CLGA
sub-A00082987,ses-VA,ses-CLGA
sub-A00083109,ses-VA_ALG,ses-ALGA
sub-A00083138,ses-VA_ALG,ses-ALGA
sub-A00083142,ses-VA_ALG,ses-ALGA
sub-A00083162,ses-VA_ALG,ses-ALGA
sub-A00083169,ses-VA_ALG,ses-ALGA
sub-A00083171,ses-VA_ALG,ses-ALGA
sub-A00083207,ses-VA_ALG,ses-ALGA
sub-A00083208,ses-VA_ALG,ses-ALGA
sub-A00083389,ses-VA_ALG,ses-ALGA
sub-A00083419,ses-VA_ALG,ses-ALGA
sub-A00083631,ses-VA_ALG,ses-ALGA
sub-A00083687,ses-VA_ALG,ses-ALGA
sub-A00083731,ses-VA,ses-CLGA
sub-A00083847,ses-VA_ALG,ses-ALGA
sub-A00083951,ses-VA,ses-CLGA
sub-A00083952,ses-VA_ALG,ses-ALGA
sub-A00083963,ses-VA_ALG,ses-ALGA
sub-A00083967,ses-VA_ALG,ses-ALGA
sub-A00083982,ses-VA_ALG,ses-ALGA
sub-A00083983,ses-VA_ALG,ses-ALGA
sub-A00084119,ses-VA_ALG,ses-ALGA
sub-A00084901,ses-VA_ALG,ses-ALGA
sub-A00084921,ses-VA_ALG,ses-ALGA
sub-A00084956,ses-VA_ALG,ses-ALGA
sub-A00085052,ses-VA_ALG,ses-ALGA
sub-A00085057,ses-VA_ALG,ses-ALGA
sub-A00085066,ses-VA_ALG,ses-ALGA
sub-A00085406,ses-VA_ALG,ses-ALGA
sub-A00085795,ses-VA,ses-CLGA
sub-A00086748,ses-VA_ALG,ses-ALGA
